Year,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
T,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Heat,Heat,Heat,Heat,Cavaliers,Cavaliers,Cavaliers,Cavaliers,Lakers,Lakers
G,82,82,82,82,82,82,82,82,66,82,82,82,82,82,82,82,71
W,35,42,50,50,45,66,61,58,46,66,54,53,57,51,50,37,52
L,47,40,32,32,37,16,21,24,20,16,28,29,25,31,32,45,19
PCT,0.427,0.512,0.61,0.61,0.549,0.805,0.744,0.707,0.697,0.805,0.659,0.646,0.695,0.622,0.61,0.451,0.732
LG Rank,21,17,6,7,13,1,1,3,4,1,5,7,3,5,6,20,3
MP,19855,19855,19830,19880,19855,19780,19780,19780,16040,19880,19880,19780,19855,19880,19730,19780,17090
FG,2922,2990,2908,2978,2937,3022,3101,3031,2446,3148,3142,3089,3171,3275,3311,3491,3006
FGA,6753,6687,6412,6658,6697,6454,6391,6301,5212,6348,6272,6739,6888,6963,6950,7425,6269
FG%,0.433,0.447,0.454,0.447,0.439,0.468,0.485,0.481,0.469,0.496,0.501,0.458,0.46,0.47,0.476,0.47,0.48
3P,247,300,497,494,552,656,602,547,370,717,665,826,880,1067,981,847,782
3PA,786,904,1465,1404,1544,1670,1582,1479,1030,1809,1829,2253,2428,2779,2636,2541,2242
3P%,0.314,0.332,0.339,0.352,0.358,0.393,0.381,0.37,0.359,0.396,0.364,0.367,0.362,0.384,0.372,0.333,0.349
2P,2675,2690,2411,2484,2385,2366,2499,2484,2076,2431,2477,2263,2291,2208,2330,2644,2224
2PA,5967,5783,4947,5254,5153,4784,4809,4822,4182,4539,4443,4486,4460,4184,4314,4884,4027
2P%,0.448,0.465,0.487,0.473,0.463,0.495,0.52,0.515,0.496,0.536,0.558,0.504,0.514,0.528,0.54,0.541,0.552
FT,1528,1634,1689,1484,1477,1523,1569,1760,1238,1423,1431,1453,1333,1431,1488,1336,1260
FTA,2030,2174,2318,2133,2061,2012,2180,2288,1598,1887,1884,1934,1783,1913,1909,1910,1728
FT%,0.753,0.752,0.729,0.696,0.717,0.757,0.72,0.769,0.775,0.754,0.76,0.751,0.748,0.748,0.779,0.699,0.729
ORB,1118,1117,959,1039,1092,886,791,790,686,676,627,911,873,766,694,835,757
DRB,2619,2352,2511,2529,2563,2574,2692,2666,2060,2490,2397,2612,2777,2821,2761,2985,2490
TRB,3737,3469,3470,3568,3655,3460,3483,3456,2746,3166,3024,3523,3650,3587,3455,3820,3247
AST,1808,1851,1560,1708,1640,1663,1835,1639,1317,1890,1847,1814,1861,1858,1916,2096,1803
STL,585,654,567,625,579,593,564,544,585,710,732,603,551,539,582,618,612
BLK,537,461,392,353,427,435,425,430,355,441,367,340,317,327,312,440,468
TOV,1216,1141,1137,1177,1145,1045,1137,1142,1002,1143,1212,1171,1114,1121,1126,1284,1077
PF,1743,1850,1733,1781,1712,1663,1591,1674,1282,1533,1596,1510,1666,1486,1524,1701,1471
PTS,7619,7914,8002,7934,7903,8223,8373,8369,6500,8436,8380,8457,8555,9048,9091,9165,8054
